Age;Inches;Weight;GP;MIN;REB;OREB;DREB;BLK;PF;PFD;DIST_MILES;DIST_MILES_OFF;DIST_MILES_DEF;AVG_SPEED;AVG_SPEED_OFF;AVG_SPEED_DEF;CONTESTED_SHOTS;CONTESTED_SHOTS_2PT;CONTESTED_SHOTS_3PT;BOX_OUTS;OFF_BOXOUTS;DEF_BOXOUTS;DEFLECTIONS;CHARGES_DRAWN;target
33;80;240;74;34.3;5.9;0.8;5.1;0.5;2.7;3.7;2.21;1.19;1.01;3.86;4.09;3.63;6.55;2.86;3.69;0.0;0.0;0.0;1.77;0.0;1
28;82;230;34;19.8;2.5;0.2;2.3;0.1;1.5;1.1;1.38;0.77;0.61;4.17;4.51;3.81;3.26;1.74;1.53;0.0;0.0;0.0;1.06;0.09;1
34;83;255;74;18.9;3.9;0.5;3.4;0.5;1.9;1.2;1.24;0.66;0.57;3.93;4.22;3.64;8.35;6.84;1.51;0.0;0.0;0.0;0.84;0.04;0
24;74;185;26;11.5;1.2;0.2;1.0;0.1;1.5;1.4;0.9;0.48;0.42;4.69;5.22;4.2;2.77;1.27;1.5;0.0;0.0;0.0;1.04;0.12;0
20;81;220;17;11.7;4.3;1.4;2.9;0.4;1.0;0.9;0.86;0.44;0.42;4.41;4.79;4.07;4.0;2.47;1.53;0.0;0.0;0.0;0.53;0.0;0
20;82;245;5;10.3;2.0;0.4;1.6;0.2;1.2;0.4;0.69;0.37;0.31;3.96;4.33;3.81;4.2;3.8;0.4;0.0;0.0;0.0;1.2;0.0;1
38;82;245;12;9.5;2.6;0.8;1.8;0.6;1.7;0.8;0.63;0.32;0.31;4.01;4.38;3.69;4.08;3.67;0.42;0.0;0.0;0.0;0.83;0.0;1
22;81;215;16;5.0;1.2;0.6;0.6;0.1;0.4;0.2;0.38;0.19;0.19;4.47;5.44;3.8;2.06;1.25;0.81;0.0;0.0;0.0;0.19;0.0;1
32;72;175;61;31.5;5.0;0.7;4.3;0.1;2.4;3.7;2.07;1.13;0.94;3.95;4.3;3.6;5.2;2.54;2.66;0.0;0.0;0.0;3.51;0.03;1
21;83;220;13;8.2;2.2;1.1;1.2;0.5;0.8;1.3;0.6;0.33;0.27;4.38;4.66;4.09;3.0;2.15;0.85;0.0;0.0;0.0;0.54;0.0;1
23;82;240;65;23.9;8.1;2.7;5.4;1.2;2.8;2.1;1.67;0.87;0.8;4.23;4.62;3.88;10.2;8.35;1.85;0.0;0.0;0.0;0.91;0.09;1
24;84;240;62;27.8;6.5;2.2;4.4;0.9;3.0;2.6;2.0;1.09;0.91;4.31;4.7;3.93;9.11;7.87;1.24;0.0;0.0;0.0;2.03;0.03;1
28;83;250;62;8.6;2.5;0.8;1.7;0.4;1.4;0.4;0.6;0.32;0.28;4.2;4.5;3.91;3.58;2.95;0.63;0.0;0.0;0.0;1.02;0.0;0
31;81;186;82;15.6;2.0;0.4;1.6;0.2;1.6;0.9;1.12;0.56;0.56;4.32;4.52;4.13;3.74;2.09;1.66;0.0;0.0;0.0;1.63;0.02;0
25;75;190;80;25.0;2.9;0.6;2.3;0.2;1.8;2.0;1.91;1.03;0.88;4.6;4.89;4.3;6.35;3.16;3.19;0.0;0.0;0.0;1.44;0.05;0
31;77;200;77;31.9;3.4;0.7;2.7;0.3;1.8;1.0;2.26;1.19;1.07;4.25;4.42;4.08;5.9;3.06;2.83;0.0;0.0;0.0;2.04;0.01;1
24;81;266;66;15.8;4.7;1.9;2.8;0.3;1.7;1.1;1.13;0.59;0.54;4.3;4.52;4.08;5.55;4.56;0.98;0.0;0.0;0.0;0.58;0.0;1
21;77;195;63;28.7;3.5;0.5;3.0;0.3;2.1;2.3;2.09;1.15;0.94;4.38;4.83;3.92;5.44;3.05;2.4;0.0;0.0;0.0;2.6;0.02;1
29;72;183;78;19.7;1.5;0.2;1.3;0.0;1.3;1.8;1.34;0.74;0.6;4.1;4.43;3.75;3.1;1.32;1.78;0.0;0.0;0.0;0.73;0.12;0
36;78;225;1;12.0;2.0;1.0;1.0;0.0;1.0;3.0;0.78;0.44;0.34;4.0;3.54;3.46;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0
22;84;245;10;8.5;2.3;0.9;1.4;0.4;1.5;0.6;0.59;0.31;0.28;4.16;4.29;4.03;3.1;2.4;0.7;0.0;0.0;0.0;0.5;0.0;1
26;75;195;75;35.9;4.9;0.6;4.3;0.3;2.0;5.6;2.49;1.41;1.08;4.17;4.66;3.67;6.13;3.49;2.64;0.0;0.0;0.0;2.07;0.15;1
31;82;228;45;7.0;0.6;0.1;0.4;0.0;0.7;0.1;0.49;0.27;0.22;4.22;4.7;3.73;1.62;0.89;0.73;0.0;0.0;0.0;0.36;0.0;1
23;83;245;19;3.9;1.2;0.3;0.9;0.0;0.9;0.2;0.26;0.14;0.12;4.01;4.12;3.89;1.58;1.26;0.32;0.0;0.0;0.0;0.32;0.0;1
28;82;225;63;33.9;5.2;0.6;4.5;0.2;1.5;4.6;2.27;1.25;1.03;4.02;4.42;3.63;8.0;4.57;3.43;0.0;0.0;0.0;1.14;0.13;1
30;78;215;68;26.6;3.3;0.5;2.8;0.8;1.8;0.6;1.98;1.09;0.89;4.49;4.76;4.2;7.5;4.54;2.96;0.0;0.0;0.0;2.63;0.03;1
30;80;230;66;25.0;4.2;0.8;3.3;0.4;1.5;0.4;1.88;0.98;0.9;4.52;4.9;4.18;7.91;4.94;2.97;0.0;0.0;0.0;1.23;0.0;0
21;78;190;66;18.6;2.0;0.5;1.5;0.2;2.2;1.4;1.36;0.73;0.64;4.41;4.58;4.23;4.47;2.64;1.83;0.0;0.0;0.0;0.79;0.03;1
24;79;215;1;0.8;1.0;0.0;1.0;0.0;0.0;0.0;0.05;0.02;0.03;7.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
23;82;223;81;26.3;6.3;1.4;5.0;0.4;2.0;2.4;1.95;1.07;0.87;4.46;4.84;4.06;8.33;6.02;2.31;0.0;0.0;0.0;1.14;0.01;0
29;81;235;41;15.6;2.7;0.6;2.1;0.5;1.9;0.5;1.04;0.55;0.48;4.02;4.35;3.71;5.27;3.93;1.34;0.0;0.0;0.0;1.32;0.02;1
29;72;175;68;30.3;2.2;0.3;1.9;0.1;1.8;1.8;2.11;1.15;0.95;4.18;4.38;3.94;4.38;1.97;2.41;0.0;0.0;0.0;2.03;0.03;0
24;78;205;39;9.8;0.8;0.1;0.8;0.1;1.0;0.7;0.7;0.39;0.31;4.32;4.69;3.94;1.95;1.15;0.79;0.0;0.0;0.0;0.51;0.05;1
34;81;245;79;18.7;5.6;1.9;3.7;0.5;1.6;1.1;1.31;0.69;0.62;4.2;4.42;3.98;6.61;4.76;1.85;0.0;0.0;0.0;0.73;0.04;0
24;76;209;20;19.9;3.2;0.9;2.3;0.4;1.8;1.4;1.5;0.75;0.75;4.54;4.69;4.37;6.4;3.8;2.6;0.0;0.0;0.0;1.35;0.0;0
36;81;250;68;12.6;3.0;0.7;2.3;0.7;1.5;1.1;0.79;0.4;0.39;3.78;3.96;3.6;5.88;4.84;1.04;0.0;0.0;0.0;1.29;0.01;1
24;82;210;67;12.1;1.5;0.3;1.1;0.4;1.1;0.6;0.93;0.53;0.4;4.59;5.2;3.98;4.34;3.25;1.09;0.0;0.0;0.0;0.55;0.04;1
28;83;265;81;31.7;13.8;3.7;10.1;1.7;2.6;4.1;2.03;1.07;0.96;3.84;4.01;3.66;10.49;8.53;1.96;0.0;0.0;0.0;1.19;0.0;0
29;78;209;62;12.5;1.7;0.3;1.4;0.2;1.3;0.8;0.93;0.47;0.47;4.48;4.42;4.55;2.73;1.52;1.21;0.0;0.0;0.0;1.58;0.06;1
22;78;210;38;9.8;1.6;0.4;1.2;0.1;0.6;0.6;0.69;0.36;0.33;4.28;4.54;3.99;2.03;1.16;0.87;0.0;0.0;0.0;0.66;0.0;1
27;79;220;74;35.4;5.2;0.9;4.3;0.2;1.8;5.5;2.4;1.34;1.06;4.06;4.42;3.69;4.26;1.89;2.36;0.0;0.0;0.0;1.86;0.04;1
26;83;270;72;34.2;11.0;2.1;8.9;1.3;3.9;8.2;2.05;1.07;0.97;3.6;3.67;3.52;12.0;9.01;2.99;0.0;0.0;0.0;3.36;0.35;1
30;80;212;72;26.1;3.8;0.9;2.9;0.4;2.0;1.4;1.81;0.95;0.86;4.16;4.26;4.05;6.9;3.76;3.14;0.0;0.0;0.0;2.43;0.04;1
20;77;170;38;8.5;1.1;0.2;0.9;0.2;0.8;0.7;0.65;0.35;0.3;4.62;4.92;4.31;1.89;1.03;0.87;0.0;0.0;0.0;0.82;0.0;1
25;77;190;27;16.5;1.8;0.6;1.2;0.4;1.1;1.7;1.26;0.67;0.59;4.57;4.9;4.23;3.67;1.96;1.7;0.0;0.0;0.0;2.44;0.11;1
22;73;201;5;3.4;0.8;0.4;0.4;0.0;0.0;0.8;0.25;0.13;0.11;4.23;5.35;3.93;0.8;0.4;0.4;0.0;0.0;0.0;0.2;0.0;1
23;73;172;79;31.5;3.1;0.5;2.6;0.2;1.9;2.9;2.26;1.22;1.04;4.32;4.76;3.91;5.47;2.94;2.53;0.0;0.0;0.0;1.65;0.16;0
23;78;212;57;17.1;2.6;0.2;2.5;0.1;1.5;0.3;1.25;0.67;0.58;4.39;4.72;4.06;3.28;1.75;1.53;0.0;0.0;0.0;0.96;0.02;0
33;75;200;64;25.9;2.3;0.2;2.1;0.1;2.2;1.8;1.73;0.97;0.76;4.04;4.37;3.69;5.45;3.05;2.41;0.0;0.0;0.0;1.25;0.09;1
25;82;265;50;23.7;6.1;1.8;4.3;0.8;2.1;1.8;1.63;0.89;0.75;4.15;4.33;3.94;9.16;7.42;1.74;0.0;0.0;0.0;1.88;0.0;1
20;79;190;32;17.0;2.5;1.2;1.3;0.4;2.0;1.0;1.28;0.64;0.63;4.56;4.85;4.3;4.06;2.47;1.59;0.0;0.0;0.0;0.84;0.03;1
28;75;190;64;32.5;3.8;1.0;2.8;0.3;1.3;2.9;2.27;1.23;1.03;4.19;4.5;3.87;5.66;3.09;2.56;0.0;0.0;0.0;1.38;0.06;1
26;80;240;50;16.1;2.6;0.4;2.2;0.1;1.2;1.4;1.15;0.63;0.52;4.29;4.64;3.92;4.36;2.64;1.72;0.0;0.0;0.0;0.54;0.04;0
20;78;206;78;35.0;3.2;0.6;2.6;0.3;3.1;4.6;2.4;1.28;1.12;4.13;4.51;3.77;6.36;3.19;3.17;0.0;0.0;0.0;1.55;0.01;1
34;75;185;65;16.7;2.0;0.2;1.8;0.1;1.6;2.1;1.15;0.64;0.51;4.13;4.43;3.81;2.42;1.11;1.31;0.0;0.0;0.0;1.26;0.18;1
27;84;245;76;17.5;6.5;1.7;4.8;0.8;2.4;1.3;1.22;0.66;0.56;4.19;4.5;3.87;8.07;6.58;1.49;0.0;0.0;0.0;0.99;0.01;1
20;82;240;36;6.6;1.7;0.6;1.1;0.5;1.1;0.5;0.45;0.24;0.22;4.12;4.34;3.95;2.69;2.22;0.47;0.0;0.0;0.0;0.33;0.0;1
20;83;255;7;3.5;0.9;0.1;0.7;0.1;0.7;0.3;0.26;0.14;0.12;4.45;4.44;4.47;1.86;1.29;0.57;0.0;0.0;0.0;0.14;0.0;1
25;76;220;46;30.1;3.3;0.4;2.9;0.4;2.1;2.5;2.05;1.12;0.92;4.09;4.39;3.78;7.2;4.33;2.87;0.0;0.0;0.0;1.98;0.0;1
39;84;245;54;26.4;6.5;0.4;6.1;0.7;2.1;2.2;1.58;0.84;0.73;3.61;3.72;3.49;7.76;5.96;1.8;0.0;0.0;0.0;1.3;0.0;1
21;83;240;81;20.1;3.6;0.6;3.0;0.4;2.5;0.9;1.43;0.76;0.67;4.27;4.8;3.79;7.16;5.27;1.89;0.0;0.0;0.0;0.93;0.0;0
26;84;222;34;14.1;3.0;0.8;2.2;0.3;1.6;1.4;1.0;0.53;0.47;4.29;4.66;3.91;6.32;4.47;1.85;0.0;0.0;0.0;1.0;0.24;1
24;80;220;81;20.3;2.7;0.7;2.1;0.3;1.5;0.7;1.47;0.79;0.69;4.34;4.47;4.2;5.91;3.59;2.32;0.0;0.0;0.0;1.11;0.0;0
25;80;219;66;22.8;2.7;0.3;2.4;0.1;1.2;0.9;1.72;0.93;0.79;4.54;4.94;4.15;5.14;2.89;2.24;0.0;0.0;0.0;0.45;0.0;1
19;85;225;43;13.3;2.4;0.5;1.9;0.5;1.7;0.3;0.97;0.51;0.46;4.38;4.91;3.92;6.0;3.95;2.05;0.0;0.0;0.0;0.49;0.0;0
27;79;230;76;32.5;7.9;1.3;6.6;1.4;2.9;2.9;2.13;1.09;1.04;3.94;4.36;3.57;13.68;9.55;4.13;0.0;0.0;0.0;3.88;0.17;0
31;83;265;74;29.7;12.7;4.0;8.7;1.2;2.7;4.6;1.94;1.02;0.93;3.95;4.24;3.67;8.45;6.93;1.51;0.0;0.0;0.0;1.76;0.0;1
25;83;240;77;17.3;4.0;1.2;2.8;0.5;1.8;1.7;1.25;0.68;0.58;4.34;4.52;4.14;7.01;5.22;1.79;0.0;0.0;0.0;1.49;0.03;0
35;76;220;60;29.9;4.5;1.1;3.5;0.7;1.9;3.3;2.0;1.1;0.9;4.03;4.37;3.7;4.88;2.78;2.1;0.0;0.0;0.0;2.42;0.02;0
28;76;191;73;24.9;2.1;0.5;1.6;0.4;1.8;0.9;1.8;0.95;0.85;4.33;4.7;3.98;5.82;3.52;2.3;0.0;0.0;0.0;1.51;0.01;1
28;82;245;46;17.2;5.3;2.1;3.2;0.5;3.0;1.4;1.22;0.65;0.56;4.26;4.48;4.03;5.54;4.65;0.89;0.0;0.0;0.0;0.61;0.0;0
